latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
54.30017,124.82643,301.79,1.02,1.01,2025-04-22,0147,T,49,6.1NRT,280.64,7.04,D
51.72532,126.65456,302.77,1.03,1.01,2025-04-22,0147,T,38,6.1NRT,282.05,6.41,D
51.38339,119.75761,352,1.29,1.13,2025-04-22,0147,T,94,6.1NRT,289.95,89.01,D
51.38158,119.77601,338.7,1.28,1.12,2025-04-22,0147,T,59,6.1NRT,288.97,51.97,D
51.37637,119.82864,318.59,1.28,1.12,2025-04-22,0147,T,71,6.1NRT,287.71,21.09,D
51.3505,119.77834,319.41,1.28,1.12,2025-04-22,0147,T,56,6.1NRT,287.64,20.58,D
51.34873,119.79579,355.8,1.28,1.12,2025-04-22,0147,T,98,6.1NRT,289.82,105.13,D
49.57038,128.46828,303.82,1.23,1.1,2025-04-22,0147,T,53,6.1NRT,283.51,8.88,D
49.42319,127.32188,301.48,1.13,1.06,2025-04-22,0147,T,11,6.1NRT,286.15,4.56,D
49.50656,124.98039,300.81,1.01,1.01,2025-04-22,0147,T,42,6.1NRT,286.91,4.67,D
49.26383,125.75826,301.24,1.04,1.02,2025-04-22,0147,T,46,6.1NRT,287.16,4.44,D
49.13022,125.65941,300.49,1.04,1.02,2025-04-22,0147,T,38,6.1NRT,286.95,4.22,D
49.04463,125.95571,301.71,1.06,1.03,2025-04-22,0147,T,49,6.1NRT,288.69,4.8,D
48.9868,126.02212,300.73,1.06,1.03,2025-04-22,0147,T,41,6.1NRT,286.71,4.24,D
48.9773,125.79333,300.12,1.05,1.02,2025-04-22,0147,T,29,6.1NRT,287.41,3.98,D
48.96169,125.8896,301.92,1.05,1.03,2025-04-22,0147,T,50,6.1NRT,288.98,5.11,D
48.51015,126.18238,302.02,1.08,1.04,2025-04-22,0147,T,49,6.1NRT,286.56,4.74,D
48.67683,124.11659,301.04,1,1,2025-04-22,0147,T,44,6.1NRT,288.93,3.43,D
48.23899,126.50406,304.27,1.11,1.05,2025-04-22,0147,T,32,6.1NRT,285.81,4.78,D
48.23653,126.51833,306.42,1.11,1.05,2025-04-22,0147,T,52,6.1NRT,285.88,6.72,D
48.23814,126.46691,301,1.11,1.05,2025-04-22,0147,T,17,6.1NRT,287.74,3.94,D
48.23086,126.50983,303.4,1.11,1.05,2025-04-22,0147,T,56,6.1NRT,287.81,5.74,D
48.15972,126.20538,302.2,1.09,1.04,2025-04-22,0147,T,51,6.1NRT,290.04,3.83,D
48.03135,126.24041,306.2,1.1,1.05,2025-04-22,0147,T,46,6.1NRT,290.39,6.03,D
48.0293,125.86383,310.18,1.08,1.04,2025-04-22,0147,T,56,6.1NRT,288.84,7.99,D
47.91919,126.40372,300.42,1.12,1.05,2025-04-22,0147,T,36,6.1NRT,289.72,3.89,D
48.38628,122.96664,305.46,1,1,2025-04-22,0147,T,61,6.1NRT,291.41,5.07,D
47.77112,126.77269,301.36,1.15,1.07,2025-04-22,0147,T,39,6.1NRT,286.94,4.63,D
48.3296,123.11268,305.7,1,1,2025-04-22,0147,T,62,6.1NRT,292.47,3.97,D
47.94655,125.04884,303.06,1.04,1.02,2025-04-22,0149,T,55,6.1NRT,292.63,4.33,D
47.88815,125.2965,305.08,1.05,1.02,2025-04-22,0149,T,45,6.1NRT,287.9,5.03,D
48.19701,123.20138,321.78,1,1,2025-04-22,0149,T,81,6.1NRT,293.85,16.5,D
47.78981,125.6704,301.98,1.07,1.03,2025-04-22,0149,T,50,6.1NRT,290.47,3.73,D
47.82287,125.29533,301.54,1.05,1.02,2025-04-22,0149,T,23,6.1NRT,289.79,3.55,D
48.15337,123.04575,310.1,1,1,2025-04-22,0149,T,70,6.1NRT,292.99,6.73,D
47.49984,126.82364,302.97,1.17,1.08,2025-04-22,0149,T,54,6.1NRT,288.26,6.36,D
47.60818,126.08308,307.05,1.1,1.05,2025-04-22,0149,T,38,6.1NRT,288.06,7.29,D
47.60581,126.09706,308.11,1.1,1.05,2025-04-22,0149,T,37,6.1NRT,288.39,7.97,D
47.45771,126.95011,302.62,1.18,1.08,2025-04-22,0149,T,27,6.1NRT,285.54,4.41,D
47.45506,126.96507,302.37,1.18,1.08,2025-04-22,0149,T,22,6.1NRT,285.61,4.3,D
47.2527,127.1004,305.43,1.21,1.09,2025-04-22,0149,T,61,6.1NRT,286.15,7.56,D
47.22965,127.17274,300.58,1.22,1.1,2025-04-22,0149,T,39,6.1NRT,286.31,4.97,D
47.47543,125.36144,302.51,1.06,1.03,2025-04-22,0149,T,53,6.1NRT,289.51,3.7,D
47.46656,125.35834,301.74,1.06,1.03,2025-04-22,0149,T,46,6.1NRT,289.33,3.26,D
47.79358,122.96446,310.93,1,1,2025-04-22,0149,T,71,6.1NRT,294.72,5.33,D
47.79176,122.97737,318.82,1,1,2025-04-22,0149,T,79,6.1NRT,296.64,12.18,D
47.79454,122.76265,307.97,1,1,2025-04-22,0149,T,45,6.1NRT,294.89,3.27,D
47.7711,122.93073,308.9,1,1,2025-04-22,0149,T,59,6.1NRT,295.02,4.56,D
47.72999,122.88532,319.29,1,1,2025-04-22,0149,T,79,6.1NRT,296.84,13.45,D
47.72701,122.77674,310.73,1,1,2025-04-22,0149,T,70,6.1NRT,297.56,5.55,D
47.17842,125.90985,304.09,1.1,1.05,2025-04-22,0149,T,43,6.1NRT,287.34,5.02,D
47.33947,124.75487,304.84,1.03,1.02,2025-04-22,0149,T,60,6.1NRT,291.1,5.22,D
47.31939,124.70662,303.43,1.03,1.01,2025-04-22,0149,T,56,6.1NRT,289.68,4.08,D
47.3904,124.00185,303.4,1.01,1,2025-04-22,0149,T,52,6.1NRT,290.01,3.43,D
47.11026,125.58755,302.09,1.08,1.04,2025-04-22,0149,T,42,6.1NRT,290.42,3.43,D
46.99269,125.78669,310.03,1.1,1.05,2025-04-22,0149,T,69,6.1NRT,289.63,9.72,D
46.99035,125.80053,305.41,1.1,1.05,2025-04-22,0149,T,61,6.1NRT,289.75,6.38,D
46.98895,125.63947,304.73,1.09,1.04,2025-04-22,0149,T,60,6.1NRT,290.23,5.28,D
46.98432,125.66689,302.03,1.09,1.04,2025-04-22,0149,T,44,6.1NRT,289.76,3.69,D
47.24456,123.98843,304.83,1.01,1,2025-04-22,0149,T,0,6.1NRT,290.4,4.42,D
47.24261,124.00127,303.66,1.01,1,2025-04-22,0149,T,0,6.1NRT,290.6,3.82,D
46.8292,126.47498,314.58,1.16,1.07,2025-04-22,0149,T,74,6.1NRT,287.59,13.83,D
46.8653,125.71427,305.89,1.1,1.05,2025-04-22,0149,T,58,6.1NRT,289.68,5.58,D
46.87466,125.60111,301.06,1.09,1.04,2025-04-22,0149,T,43,6.1NRT,289.94,3.5,D
